letter	number	name	frequency	specialisation
A1	31	Electrical Machinery, apparatus, energy	0.0477	0.7937
A2	11	Audio-Visual Technology	0.0169	0.6377
A3	2	Telecommunications	0.0031	0.1202
A4	1	Digital Communication	0.0015	0.0427
A5	1	Basic Communication Processes	0.0015	0.1531
A6	3	Computer Technology	0.0046	0.142
A7	2	IT Methods for Management	0.0031	0.7381
A8	2	Semiconductors	0.0031	0.2053
B1	16	Optics	0.0246	1.3016
B2	61	Measurement	0.0938	1.8873
B4	11	Control	0.0169	1.0696
B5	15	Medical Technology	0.0231	0.5
C10	9	Chemical Engineering	0.0138	0.451
C11	5	Environmental Technology	0.0077	0.5066
C2	4	Biotechnology	0.0062	0.2191
C3	2	Pharmaceuticals	0.0031	0.0719
C4	7	Macromolecular chemistery, polymers	0.0108	0.4106
C5	50	Food chemistery	0.0769	6.687
C6	15	Basic materials chemistery	0.0231	0.8163
C7	1	Materials, metallurgy	0.0015	0.0735
C8	14	Surface technology, coating	0.0215	1.4626
D1	49	Handling	0.0754	1.77
D2	8	Machine Tools	0.0123	0.3796
D3	102	Engines, Pumps, Turbines	0.1569	4.6558
D4	14	Textile and Paper Machines	0.0215	0.8022
D5	63	Other Special Machines	0.0969	2.4286
D6	21	Thermal Processes and Apparatus	0.0323	1.5833
D7	22	Mechanical Elements	0.0338	0.8264
D8	16	Transport	0.0246	0.4278
E1	17	Furniture, Games	0.0262	1.0962
E2	12	Other Consumer Goods	0.0185	0.8525
E3	63	Civil Engineering	0.0969	2.0357
