letter	number	name	frequency	specialisation
A1	124	Electrical Machinery, apparatus, energy	0.032	0.5324
A2	146	Audio-Visual Technology	0.0377	1.4226
A3	219	Telecommunications	0.0566	2.1938
A4	168	Digital Communication	0.0434	1.2365
A5	60	Basic Communication Processes	0.0155	1.5816
A6	46	Computer Technology	0.0119	0.3673
A7	1	IT Methods for Management	3e-04	0.0714
A8	4	Semiconductors	0.001	0.0662
B1	250	Optics	0.0646	3.418
B2	74	Measurement	0.0191	0.3843
B3	8	Analysis of Biological Materials	0.0021	0.2658
B4	82	Control	0.0212	1.3418
B5	103	Medical Technology	0.0266	0.5758
C1	241	Organic Fine Chemistery	0.0622	1.3551
C10	54	Chemical Engineering	0.0139	0.4542
C11	40	Environmental Technology	0.0103	0.6776
C2	95	Biotechnology	0.0245	0.8657
C3	155	Pharmaceuticals	0.04	0.9281
C4	138	Macromolecular chemistery, polymers	0.0356	1.3536
C5	193	Food chemistery	0.0498	4.3304
C6	141	Basic materials chemistery	0.0364	1.2862
C7	109	Materials, metallurgy	0.0282	1.3824
C8	39	Surface technology, coating	0.0101	0.6871
D1	197	Handling	0.0509	1.1948
D2	48	Machine Tools	0.0124	0.3827
D3	26	Engines, Pumps, Turbines	0.0067	0.1988
D4	17	Textile and Paper Machines	0.0044	0.1642
D5	357	Other Special Machines	0.0922	2.3108
D6	201	Thermal Processes and Apparatus	0.0519	2.5441
D7	88	Mechanical Elements	0.0227	0.555
D8	143	Transport	0.0369	0.6417
E1	84	Furniture, Games	0.0217	0.9079
E2	87	Other Consumer Goods	0.0225	1.0369
E3	134	Civil Engineering	0.0346	0.7269
