letter	number	name	frequency	specialisation
A1	34	Electrical Machinery, apparatus, energy	0.2282	3.797
A2	1	Audio-Visual Technology	0.0067	0.2528
B5	3	Medical Technology	0.0201	0.4351
C10	3	Chemical Engineering	0.0201	0.6569
C11	2	Environmental Technology	0.0134	0.8816
C8	1	Surface technology, coating	0.0067	0.4558
D1	44	Handling	0.2953	6.9319
D2	6	Machine Tools	0.0403	1.2438
D4	9	Textile and Paper Machines	0.0604	2.2537
D5	18	Other Special Machines	0.1208	3.0276
D6	1	Thermal Processes and Apparatus	0.0067	0.3284
D7	2	Mechanical Elements	0.0134	0.3276
D8	6	Transport	0.0403	0.7009
E2	4	Other Consumer Goods	0.0268	1.235
E3	15	Civil Engineering	0.1007	2.1155
