letter	number	name	frequency	specialisation
A1	41	Electrical Machinery, apparatus, energy	0.0178	0.2962
A2	4	Audio-Visual Technology	0.0017	0.0642
A3	4	Telecommunications	0.0017	0.0659
A4	2	Digital Communication	9e-04	0.0256
A5	2	Basic Communication Processes	9e-04	0.0918
A6	8	Computer Technology	0.0035	0.108
B1	14	Optics	0.0061	0.3228
B2	51	Measurement	0.0221	0.4447
B4	68	Control	0.0294	1.8608
B5	34	Medical Technology	0.0147	0.3182
C1	25	Organic Fine Chemistery	0.0108	0.2353
C10	102	Chemical Engineering	0.0442	1.4444
C11	69	Environmental Technology	0.0299	1.9671
C2	3	Biotechnology	0.0013	0.0459
C3	7	Pharmaceuticals	0.003	0.0696
C4	32	Macromolecular chemistery, polymers	0.0139	0.5285
C5	22	Food chemistery	0.0095	0.8261
C6	21	Basic materials chemistery	0.0091	0.3216
C7	34	Materials, metallurgy	0.0147	0.7206
C8	27	Surface technology, coating	0.0117	0.7959
D1	212	Handling	0.0918	2.1549
D2	126	Machine Tools	0.0546	1.6852
D3	43	Engines, Pumps, Turbines	0.0186	0.5519
D4	253	Textile and Paper Machines	0.1096	4.0896
D5	187	Other Special Machines	0.081	2.0301
D6	23	Thermal Processes and Apparatus	0.01	0.4902
D7	83	Mechanical Elements	0.0359	0.8778
D8	390	Transport	0.1689	2.9374
E1	65	Furniture, Games	0.0282	1.1799
E2	33	Other Consumer Goods	0.0143	0.659
E3	324	Civil Engineering	0.1403	2.9475
