letter	number	name	frequency	specialisation
A1	19	Electrical Machinery, apparatus, energy	0.0158	0.2629
A2	15	Audio-Visual Technology	0.0125	0.4717
A3	5	Telecommunications	0.0042	0.1628
A6	4	Computer Technology	0.0033	0.1019
B1	2	Optics	0.0017	0.0899
B2	61	Measurement	0.0507	1.0201
B3	6	Analysis of Biological Materials	0.005	0.6329
B4	13	Control	0.0108	0.6835
B5	44	Medical Technology	0.0366	0.7922
C1	9	Organic Fine Chemistery	0.0075	0.1634
C10	25	Chemical Engineering	0.0208	0.6797
C11	51	Environmental Technology	0.0424	2.7895
C3	3	Pharmaceuticals	0.0025	0.058
C4	6	Macromolecular chemistery, polymers	0.005	0.1901
C6	19	Basic materials chemistery	0.0158	0.5583
C7	5	Materials, metallurgy	0.0042	0.2059
C8	7	Surface technology, coating	0.0058	0.3946
D1	49	Handling	0.0407	0.9554
D2	114	Machine Tools	0.0948	2.9259
D3	5	Engines, Pumps, Turbines	0.0042	0.1246
D4	15	Textile and Paper Machines	0.0125	0.4664
D5	195	Other Special Machines	0.1621	4.0627
D6	10	Thermal Processes and Apparatus	0.0083	0.4069
D7	157	Mechanical Elements	0.1305	3.1907
D8	22	Transport	0.0183	0.3183
E1	42	Furniture, Games	0.0349	1.4603
E2	22	Other Consumer Goods	0.0183	0.8433
E3	278	Civil Engineering	0.2311	4.855
