letter	number	name	frequency	specialisation
A1	229	Electrical Machinery, apparatus, energy	0.0682	1.1348
A2	20	Audio-Visual Technology	0.006	0.2264
A3	34	Telecommunications	0.0101	0.3915
A4	6	Digital Communication	0.0018	0.0513
A6	5	Computer Technology	0.0015	0.0463
A7	1	IT Methods for Management	3e-04	0.0714
A8	17	Semiconductors	0.0051	0.3377
B1	28	Optics	0.0083	0.4392
B2	35	Measurement	0.0104	0.2093
B3	27	Analysis of Biological Materials	0.008	1.0127
B4	53	Control	0.0158	1
B5	101	Medical Technology	0.0301	0.6515
C1	316	Organic Fine Chemistery	0.0941	2.0501
C10	79	Chemical Engineering	0.0235	0.768
C11	29	Environmental Technology	0.0086	0.5658
C2	86	Biotechnology	0.0256	0.9046
C3	593	Pharmaceuticals	0.1766	4.0974
C4	18	Macromolecular chemistery, polymers	0.0054	0.2053
C5	16	Food chemistery	0.0048	0.4174
C6	70	Basic materials chemistery	0.0208	0.735
C7	45	Materials, metallurgy	0.0134	0.6569
C8	40	Surface technology, coating	0.0119	0.8095
D1	243	Handling	0.0724	1.6995
D2	47	Machine Tools	0.014	0.4321
D3	101	Engines, Pumps, Turbines	0.0301	0.8932
D4	113	Textile and Paper Machines	0.0337	1.2575
D5	135	Other Special Machines	0.0402	1.0075
D6	67	Thermal Processes and Apparatus	0.02	0.9804
D7	122	Mechanical Elements	0.0363	0.8875
D8	302	Transport	0.0899	1.5635
E1	82	Furniture, Games	0.0244	1.0209
E2	73	Other Consumer Goods	0.0217	1
E3	225	Civil Engineering	0.067	1.4076
