letter	number	name	frequency	specialisation
A1	276	Electrical Machinery, apparatus, energy	0.0817	1.3594
A2	34	Audio-Visual Technology	0.0101	0.3811
A3	72	Telecommunications	0.0213	0.8256
A4	31	Digital Communication	0.0092	0.2621
A5	9	Basic Communication Processes	0.0027	0.2755
A6	17	Computer Technology	0.005	0.1543
A7	2	IT Methods for Management	6e-04	0.1429
A8	11	Semiconductors	0.0033	0.2185
B1	27	Optics	0.008	0.4233
B2	120	Measurement	0.0355	0.7143
B3	9	Analysis of Biological Materials	0.0027	0.3418
B4	61	Control	0.018	1.1392
B5	53	Medical Technology	0.0157	0.3398
C1	7	Organic Fine Chemistery	0.0021	0.0458
C10	63	Chemical Engineering	0.0186	0.6078
C11	35	Environmental Technology	0.0104	0.6842
C2	12	Biotechnology	0.0036	0.1272
C3	10	Pharmaceuticals	0.003	0.0696
C4	49	Macromolecular chemistery, polymers	0.0145	0.5513
C5	15	Food chemistery	0.0044	0.3826
C6	42	Basic materials chemistery	0.0124	0.4382
C7	80	Materials, metallurgy	0.0237	1.1618
C8	68	Surface technology, coating	0.0201	1.3673
D1	180	Handling	0.0533	1.2512
D2	101	Machine Tools	0.0299	0.9228
D3	319	Engines, Pumps, Turbines	0.0944	2.8012
D4	90	Textile and Paper Machines	0.0266	0.9925
D5	131	Other Special Machines	0.0388	0.9724
D6	81	Thermal Processes and Apparatus	0.024	1.1765
D7	421	Mechanical Elements	0.1246	3.0465
D8	531	Transport	0.1571	2.7322
E1	69	Furniture, Games	0.0204	0.8536
E2	20	Other Consumer Goods	0.0059	0.2719
E3	334	Civil Engineering	0.0988	2.0756
