letter	number	name	frequency	specialisation
A1	10	Electrical Machinery, apparatus, energy	0.0255	0.4243
A2	7	Audio-Visual Technology	0.0179	0.6755
A3	2	Telecommunications	0.0051	0.1977
A4	1	Digital Communication	0.0026	0.0741
A5	1	Basic Communication Processes	0.0026	0.2653
A6	3	Computer Technology	0.0077	0.2377
B2	15	Measurement	0.0383	0.7706
B4	1	Control	0.0026	0.1646
B5	64	Medical Technology	0.1633	3.5346
C1	7	Organic Fine Chemistery	0.0179	0.39
C10	6	Chemical Engineering	0.0153	0.5
C11	6	Environmental Technology	0.0153	1.0066
C2	23	Biotechnology	0.0587	2.0742
C3	56	Pharmaceuticals	0.1429	3.3155
C4	8	Macromolecular chemistery, polymers	0.0204	0.7757
C5	15	Food chemistery	0.0383	3.3304
C6	3	Basic materials chemistery	0.0077	0.2721
C7	6	Materials, metallurgy	0.0153	0.75
C8	5	Surface technology, coating	0.0128	0.8707
D1	9	Handling	0.023	0.5399
D2	23	Machine Tools	0.0587	1.8117
D3	14	Engines, Pumps, Turbines	0.0357	1.0593
D4	23	Textile and Paper Machines	0.0587	2.1903
D5	36	Other Special Machines	0.0918	2.3008
D6	6	Thermal Processes and Apparatus	0.0153	0.75
D7	7	Mechanical Elements	0.0179	0.4377
D8	20	Transport	0.051	0.887
E2	1	Other Consumer Goods	0.0026	0.1198
E3	14	Civil Engineering	0.0357	0.75
