letter	number	name	frequency	specialisation
A1	3	Electrical Machinery, apparatus, energy	0.017	0.2829
A2	6	Audio-Visual Technology	0.0341	1.2868
A3	23	Telecommunications	0.1307	5.0659
A4	9	Digital Communication	0.0511	1.4558
A5	9	Basic Communication Processes	0.0511	5.2143
A6	13	Computer Technology	0.0739	2.2809
A8	2	Semiconductors	0.0114	0.755
B1	1	Optics	0.0057	0.3016
B2	2	Measurement	0.0114	0.2294
B4	1	Control	0.0057	0.3608
B5	1	Medical Technology	0.0057	0.1234
C10	4	Chemical Engineering	0.0227	0.7418
C11	3	Environmental Technology	0.017	1.1184
C2	4	Biotechnology	0.0227	0.8021
C3	8	Pharmaceuticals	0.0455	1.0557
C5	9	Food chemistery	0.0511	4.4435
C6	2	Basic materials chemistery	0.0114	0.4028
C8	2	Surface technology, coating	0.0114	0.7755
D1	6	Handling	0.0341	0.8005
D2	2	Machine Tools	0.0114	0.3519
D3	1	Engines, Pumps, Turbines	0.0057	0.1691
D5	16	Other Special Machines	0.0909	2.2782
D6	26	Thermal Processes and Apparatus	0.1477	7.2402
D8	6	Transport	0.0341	0.593
E2	4	Other Consumer Goods	0.0227	1.0461
E3	13	Civil Engineering	0.0739	1.5525
