letter	number	name	frequency	specialisation
A1	36	Electrical Machinery, apparatus, energy	0.1006	1.6739
A2	4	Audio-Visual Technology	0.0112	0.4226
A3	6	Telecommunications	0.0168	0.6512
A6	7	Computer Technology	0.0196	0.6049
B1	10	Optics	0.0279	1.4762
B2	18	Measurement	0.0503	1.0121
B3	3	Analysis of Biological Materials	0.0084	1.0633
B4	10	Control	0.0279	1.7658
B5	57	Medical Technology	0.1592	3.4459
C1	4	Organic Fine Chemistery	0.0112	0.244
C10	4	Chemical Engineering	0.0112	0.366
C11	6	Environmental Technology	0.0168	1.1053
C2	1	Biotechnology	0.0028	0.0989
C3	6	Pharmaceuticals	0.0168	0.3898
C4	1	Macromolecular chemistery, polymers	0.0028	0.1065
C6	1	Basic materials chemistery	0.0028	0.0989
C7	2	Materials, metallurgy	0.0056	0.2745
C8	7	Surface technology, coating	0.0196	1.3333
D1	19	Handling	0.0531	1.2465
D2	2	Machine Tools	0.0056	0.1728
D3	22	Engines, Pumps, Turbines	0.0615	1.8249
D4	3	Textile and Paper Machines	0.0084	0.3134
D5	20	Other Special Machines	0.0559	1.401
D6	12	Thermal Processes and Apparatus	0.0335	1.6422
D7	10	Mechanical Elements	0.0279	0.6822
D8	28	Transport	0.0782	1.36
E1	12	Furniture, Games	0.0335	1.4017
E2	4	Other Consumer Goods	0.0112	0.5161
E3	43	Civil Engineering	0.1201	2.5231
