letter	number	name	frequency	specialisation
A1	1	Electrical Machinery, apparatus, energy	0.0057	0.0948
B2	5	Measurement	0.0286	0.5755
B3	2	Analysis of Biological Materials	0.0114	1.443
B5	14	Medical Technology	0.08	1.7316
C1	24	Organic Fine Chemistery	0.1371	2.9869
C10	28	Chemical Engineering	0.16	5.2288
C11	2	Environmental Technology	0.0114	0.75
C4	31	Macromolecular chemistery, polymers	0.1771	6.7338
C6	4	Basic materials chemistery	0.0229	0.8092
C7	4	Materials, metallurgy	0.0229	1.1225
D2	4	Machine Tools	0.0229	0.7068
D5	10	Other Special Machines	0.0571	1.4311
D6	7	Thermal Processes and Apparatus	0.04	1.9608
D8	4	Transport	0.0229	0.3983
E1	2	Furniture, Games	0.0114	0.477
E3	33	Civil Engineering	0.1886	3.9622
