letter	number	name	frequency	specialisation
A1	45	Electrical Machinery, apparatus, energy	0.4206	6.9983
B2	10	Measurement	0.0935	1.8813
B4	3	Control	0.028	1.7722
B5	10	Medical Technology	0.0935	2.0238
C1	5	Organic Fine Chemistery	0.0467	1.0174
C10	2	Chemical Engineering	0.0187	0.6111
C11	3	Environmental Technology	0.028	1.8421
C3	2	Pharmaceuticals	0.0187	0.4339
C5	1	Food chemistery	0.0093	0.8087
D1	7	Handling	0.0654	1.5352
D2	4	Machine Tools	0.0374	1.1543
D3	1	Engines, Pumps, Turbines	0.0093	0.276
D5	1	Other Special Machines	0.0093	0.2331
D8	3	Transport	0.028	0.487
E1	4	Furniture, Games	0.0374	1.5649
E3	6	Civil Engineering	0.0561	1.1786
