letter	number	name	frequency	specialisation
A1	34	Electrical Machinery, apparatus, energy	0.0766	1.2745
A2	1	Audio-Visual Technology	0.0023	0.0868
A3	1	Telecommunications	0.0023	0.0891
A6	1	Computer Technology	0.0023	0.071
A7	1	IT Methods for Management	0.0023	0.5476
B1	2	Optics	0.0045	0.2381
B2	23	Measurement	0.0518	1.0423
B5	11	Medical Technology	0.0248	0.5368
C1	45	Organic Fine Chemistery	0.1014	2.2092
C10	24	Chemical Engineering	0.0541	1.768
C11	5	Environmental Technology	0.0113	0.7434
C2	28	Biotechnology	0.0631	2.2297
C3	81	Pharmaceuticals	0.1824	4.232
C4	8	Macromolecular chemistery, polymers	0.018	0.6844
C5	7	Food chemistery	0.0158	1.3739
C6	35	Basic materials chemistery	0.0788	2.7845
C7	4	Materials, metallurgy	0.009	0.4412
C8	4	Surface technology, coating	0.009	0.6122
D1	5	Handling	0.0113	0.2653
D2	8	Machine Tools	0.018	0.5556
D3	6	Engines, Pumps, Turbines	0.0135	0.4006
D4	3	Textile and Paper Machines	0.0068	0.2537
D5	4	Other Special Machines	0.009	0.2256
D6	26	Thermal Processes and Apparatus	0.0586	2.8725
D7	28	Mechanical Elements	0.0631	1.5428
D8	17	Transport	0.0383	0.6661
E1	10	Furniture, Games	0.0225	0.9414
E2	4	Other Consumer Goods	0.009	0.4147
E3	18	Civil Engineering	0.0405	0.8508
