letter	number	name	frequency	specialisation
A1	32	Electrical Machinery, apparatus, energy	0.3596	5.9834
A4	6	Digital Communication	0.0674	1.9202
B2	1	Measurement	0.0112	0.2254
B5	2	Medical Technology	0.0225	0.487
C1	14	Organic Fine Chemistery	0.1573	3.427
D1	2	Handling	0.0225	0.5282
D2	1	Machine Tools	0.0112	0.3457
D5	7	Other Special Machines	0.0787	1.9724
D6	2	Thermal Processes and Apparatus	0.0225	1.1029
D7	5	Mechanical Elements	0.0562	1.3741
D8	2	Transport	0.0225	0.3913
E3	15	Civil Engineering	0.1685	3.5399
