letter	number	name	frequency	specialisation
A1	1	Electrical Machinery, apparatus, energy	0.0435	0.7238
A6	1	Computer Technology	0.0435	1.3426
B5	5	Medical Technology	0.2174	4.7056
C1	3	Organic Fine Chemistery	0.1304	2.841
C10	2	Chemical Engineering	0.087	2.8431
C6	2	Basic materials chemistery	0.087	3.0742
D4	1	Textile and Paper Machines	0.0435	1.6231
D6	3	Thermal Processes and Apparatus	0.1304	6.3922
D7	1	Mechanical Elements	0.0435	1.0636
D8	1	Transport	0.0435	0.7565
E3	3	Civil Engineering	0.1304	2.7395
