letter	number	name	frequency	specialisation
A1	22	Electrical Machinery, apparatus, energy	0.0545	0.9068
A2	4	Audio-Visual Technology	0.0099	0.3736
A3	7	Telecommunications	0.0173	0.6705
A6	6	Computer Technology	0.0149	0.4599
A8	3	Semiconductors	0.0074	0.4901
B2	11	Measurement	0.0272	0.5473
B3	2	Analysis of Biological Materials	0.005	0.6329
B4	10	Control	0.0248	1.5696
B5	29	Medical Technology	0.0718	1.5541
C10	8	Chemical Engineering	0.0198	0.6471
C11	12	Environmental Technology	0.0297	1.9539
C2	1	Biotechnology	0.0025	0.0883
C3	4	Pharmaceuticals	0.0099	0.2297
C4	38	Macromolecular chemistery, polymers	0.0941	3.5779
C5	1	Food chemistery	0.0025	0.2174
C6	11	Basic materials chemistery	0.0272	0.9611
C7	5	Materials, metallurgy	0.0124	0.6078
C8	2	Surface technology, coating	0.005	0.3401
D1	12	Handling	0.0297	0.6972
D2	4	Machine Tools	0.0099	0.3056
D3	9	Engines, Pumps, Turbines	0.0223	0.6617
D4	9	Textile and Paper Machines	0.0223	0.8321
D5	10	Other Special Machines	0.0248	0.6216
D6	7	Thermal Processes and Apparatus	0.0173	0.848
D7	64	Mechanical Elements	0.1584	3.8729
D8	38	Transport	0.0941	1.6365
E1	32	Furniture, Games	0.0792	3.3138
E2	7	Other Consumer Goods	0.0173	0.7972
E3	36	Civil Engineering	0.0891	1.8718
