letter	number	name	frequency	specialisation
A1	8	Electrical Machinery, apparatus, energy	0.0279	0.4642
A3	9	Telecommunications	0.0314	1.2171
A6	2	Computer Technology	0.007	0.216
A8	1	Semiconductors	0.0035	0.2318
B2	7	Measurement	0.0244	0.4909
B4	4	Control	0.0139	0.8797
B5	8	Medical Technology	0.0279	0.6039
C1	2	Organic Fine Chemistery	0.007	0.1525
C10	8	Chemical Engineering	0.0279	0.9118
C11	2	Environmental Technology	0.007	0.4605
C4	7	Macromolecular chemistery, polymers	0.0244	0.9278
C6	1	Basic materials chemistery	0.0035	0.1237
C7	51	Materials, metallurgy	0.1777	8.7108
D1	49	Handling	0.1707	4.007
D2	5	Machine Tools	0.0174	0.537
D4	17	Textile and Paper Machines	0.0592	2.209
D5	20	Other Special Machines	0.0697	1.7469
D6	5	Thermal Processes and Apparatus	0.0174	0.8529
D7	17	Mechanical Elements	0.0592	1.4474
D8	18	Transport	0.0627	1.0904
E1	12	Furniture, Games	0.0418	1.749
E2	14	Other Consumer Goods	0.0488	2.2488
E3	20	Civil Engineering	0.0697	1.4643
