letter	number	name	frequency	specialisation
B1	1	Optics	0.0172	0.9101
B4	1	Control	0.0172	1.0886
B5	14	Medical Technology	0.2414	5.2251
C10	3	Chemical Engineering	0.0517	1.6895
C11	3	Environmental Technology	0.0517	3.4013
C2	1	Biotechnology	0.0172	0.6078
C3	1	Pharmaceuticals	0.0172	0.3991
C5	3	Food chemistery	0.0517	4.4957
D1	6	Handling	0.1034	2.4272
D4	4	Textile and Paper Machines	0.069	2.5746
D5	6	Other Special Machines	0.1034	2.5915
D6	1	Thermal Processes and Apparatus	0.0172	0.8431
D7	2	Mechanical Elements	0.0345	0.8435
D8	6	Transport	0.1034	1.7983
E3	6	Civil Engineering	0.1034	2.1723
