letter	number	name	frequency	specialisation
A1	128	Electrical Machinery, apparatus, energy	0.0248	0.4126
A2	348	Audio-Visual Technology	0.0673	2.5396
A3	55	Telecommunications	0.0106	0.4109
A4	18	Digital Communication	0.0035	0.0997
A5	8	Basic Communication Processes	0.0015	0.1531
A6	48	Computer Technology	0.0093	0.287
A8	5	Semiconductors	0.001	0.0662
B1	13	Optics	0.0025	0.1323
B2	129	Measurement	0.025	0.503
B3	20	Analysis of Biological Materials	0.0039	0.4937
B4	29	Control	0.0056	0.3544
B5	193	Medical Technology	0.0373	0.8074
C1	121	Organic Fine Chemistery	0.0234	0.5098
C10	188	Chemical Engineering	0.0364	1.1895
C11	80	Environmental Technology	0.0155	1.0197
C2	1243	Biotechnology	0.2405	8.4982
C3	543	Pharmaceuticals	0.105	2.4362
C4	31	Macromolecular chemistery, polymers	0.006	0.2281
C5	501	Food chemistery	0.0969	8.4261
C6	208	Basic materials chemistery	0.0402	1.4205
C7	134	Materials, metallurgy	0.0259	1.2696
C8	19	Surface technology, coating	0.0037	0.2517
D1	100	Handling	0.0193	0.4531
D2	15	Machine Tools	0.0029	0.0895
D3	27	Engines, Pumps, Turbines	0.0052	0.1543
D4	63	Textile and Paper Machines	0.0122	0.4552
D5	191	Other Special Machines	0.037	0.9273
D6	49	Thermal Processes and Apparatus	0.0095	0.4657
D7	57	Mechanical Elements	0.011	0.2689
D8	10	Transport	0.0019	0.033
E1	50	Furniture, Games	0.0097	0.4059
E2	36	Other Consumer Goods	0.007	0.3226
E3	509	Civil Engineering	0.0985	2.0693
