letter	number	name	frequency	specialisation
A1	18	Electrical Machinery, apparatus, energy	0.0129	0.2146
A2	43	Audio-Visual Technology	0.0308	1.1623
A3	4	Telecommunications	0.0029	0.1124
A4	4	Digital Communication	0.0029	0.0826
A5	1	Basic Communication Processes	7e-04	0.0714
A6	7	Computer Technology	0.005	0.1543
A8	2	Semiconductors	0.0014	0.0927
B1	9	Optics	0.0065	0.3439
B2	19	Measurement	0.0136	0.2736
B3	4	Analysis of Biological Materials	0.0029	0.3671
B4	9	Control	0.0065	0.4114
B5	1	Medical Technology	7e-04	0.0152
C10	15	Chemical Engineering	0.0108	0.3529
C11	21	Environmental Technology	0.0151	0.9934
C2	1	Biotechnology	7e-04	0.0247
C3	1	Pharmaceuticals	7e-04	0.0162
C4	4	Macromolecular chemistery, polymers	0.0029	0.1103
C5	31	Food chemistery	0.0222	1.9304
C6	24	Basic materials chemistery	0.0172	0.6078
C7	12	Materials, metallurgy	0.0086	0.4216
C8	46	Surface technology, coating	0.033	2.2449
D1	21	Handling	0.0151	0.3545
D2	41	Machine Tools	0.0294	0.9074
D3	2	Engines, Pumps, Turbines	0.0014	0.0415
D4	463	Textile and Paper Machines	0.3319	12.3843
D5	81	Other Special Machines	0.0581	1.4561
D6	43	Thermal Processes and Apparatus	0.0308	1.5098
D7	23	Mechanical Elements	0.0165	0.4034
D8	33	Transport	0.0237	0.4122
E1	34	Furniture, Games	0.0244	1.0209
E2	117	Other Consumer Goods	0.0839	3.8664
E3	261	Civil Engineering	0.1871	3.9307
