letter	number	name	frequency	specialisation
A1	1235	Electrical Machinery, apparatus, energy	0.0363	0.604
A2	213	Audio-Visual Technology	0.0063	0.2377
A3	215	Telecommunications	0.0063	0.2442
A4	63	Digital Communication	0.0019	0.0541
A5	43	Basic Communication Processes	0.0013	0.1327
A6	183	Computer Technology	0.0054	0.1667
A7	40	IT Methods for Management	0.0012	0.2857
A8	207	Semiconductors	0.0061	0.404
B1	505	Optics	0.0149	0.7884
B2	1062	Measurement	0.0312	0.6278
B3	307	Analysis of Biological Materials	0.009	1.1392
B4	263	Control	0.0077	0.4873
B5	1207	Medical Technology	0.0355	0.7684
C1	3176	Organic Fine Chemistery	0.0934	2.0349
C10	1329	Chemical Engineering	0.0391	1.2778
C11	704	Environmental Technology	0.0207	1.3618
C2	1069	Biotechnology	0.0314	1.1095
C3	2464	Pharmaceuticals	0.0725	1.6821
C4	2079	Macromolecular chemistery, polymers	0.0611	2.3232
C5	286	Food chemistery	0.0084	0.7304
C6	2548	Basic materials chemistery	0.0749	2.6466
C7	1313	Materials, metallurgy	0.0386	1.8922
C8	1096	Surface technology, coating	0.0322	2.1905
D1	1423	Handling	0.0418	0.9812
D2	969	Machine Tools	0.0285	0.8796
D3	364	Engines, Pumps, Turbines	0.0107	0.3175
D4	2430	Textile and Paper Machines	0.0715	2.6679
D5	1596	Other Special Machines	0.0469	1.1754
D6	510	Thermal Processes and Apparatus	0.015	0.7353
D7	1333	Mechanical Elements	0.0392	0.9584
D8	1531	Transport	0.045	0.7826
E1	528	Furniture, Games	0.0155	0.6485
E2	424	Other Consumer Goods	0.0125	0.576
E3	1288	Civil Engineering	0.0379	0.7962
