letter	number	name	frequency	specialisation
A1	345	Electrical Machinery, apparatus, energy	0.0628	1.0449
A2	445	Audio-Visual Technology	0.081	3.0566
A3	78	Telecommunications	0.0142	0.5504
A4	61	Digital Communication	0.0111	0.3162
A5	97	Basic Communication Processes	0.0176	1.7959
A6	171	Computer Technology	0.0311	0.9599
A8	63	Semiconductors	0.0115	0.7616
B1	71	Optics	0.0129	0.6825
B2	949	Measurement	0.1726	3.4728
B3	16	Analysis of Biological Materials	0.0029	0.3671
B4	159	Control	0.0289	1.8291
B5	747	Medical Technology	0.1359	2.9416
C1	27	Organic Fine Chemistery	0.0049	0.1068
C10	98	Chemical Engineering	0.0178	0.5817
C11	34	Environmental Technology	0.0062	0.4079
C2	21	Biotechnology	0.0038	0.1343
C3	46	Pharmaceuticals	0.0084	0.1949
C4	22	Macromolecular chemistery, polymers	0.004	0.1521
C5	7	Food chemistery	0.0013	0.113
C6	26	Basic materials chemistery	0.0047	0.1661
C7	15	Materials, metallurgy	0.0027	0.1324
C8	41	Surface technology, coating	0.0075	0.5102
D1	162	Handling	0.0295	0.6925
D2	462	Machine Tools	0.084	2.5926
D3	29	Engines, Pumps, Turbines	0.0053	0.1573
D4	52	Textile and Paper Machines	0.0095	0.3545
D5	243	Other Special Machines	0.0442	1.1078
D6	156	Thermal Processes and Apparatus	0.0284	1.3922
D7	263	Mechanical Elements	0.0478	1.1687
D8	145	Transport	0.0264	0.4591
E1	66	Furniture, Games	0.012	0.5021
E2	50	Other Consumer Goods	0.0091	0.4194
E3	330	Civil Engineering	0.06	1.2605
