letter	number	name	frequency	specialisation
A1	142	Electrical Machinery, apparatus, energy	0.0491	0.817
A2	8	Audio-Visual Technology	0.0028	0.1057
A3	14	Telecommunications	0.0048	0.186
A4	8	Digital Communication	0.0028	0.0798
A5	71	Basic Communication Processes	0.0246	2.5102
A6	5	Computer Technology	0.0017	0.0525
A8	4	Semiconductors	0.0014	0.0927
B1	11	Optics	0.0038	0.2011
B2	83	Measurement	0.0287	0.5775
B4	35	Control	0.0121	0.7658
B5	60	Medical Technology	0.0207	0.4481
C1	1	Organic Fine Chemistery	3e-04	0.0065
C10	109	Chemical Engineering	0.0377	1.232
C11	40	Environmental Technology	0.0138	0.9079
C2	1	Biotechnology	3e-04	0.0106
C3	7	Pharmaceuticals	0.0024	0.0557
C5	7	Food chemistery	0.0024	0.2087
C6	11	Basic materials chemistery	0.0038	0.1343
C7	15	Materials, metallurgy	0.0052	0.2549
C8	18	Surface technology, coating	0.0062	0.4218
D1	168	Handling	0.0581	1.3638
D2	251	Machine Tools	0.0868	2.679
D3	62	Engines, Pumps, Turbines	0.0214	0.635
D4	242	Textile and Paper Machines	0.0837	3.1231
D5	407	Other Special Machines	0.1407	3.5263
D6	42	Thermal Processes and Apparatus	0.0145	0.7108
D7	490	Mechanical Elements	0.1694	4.1418
D8	318	Transport	0.11	1.913
E1	61	Furniture, Games	0.0211	0.8828
E2	52	Other Consumer Goods	0.018	0.8295
E3	149	Civil Engineering	0.0515	1.0819
