letter	number	name	frequency	specialisation
A1	52	Electrical Machinery, apparatus, energy	0.0501	0.8336
A2	14	Audio-Visual Technology	0.0135	0.5094
A3	3	Telecommunications	0.0029	0.1124
A4	5	Digital Communication	0.0048	0.1368
A5	3	Basic Communication Processes	0.0029	0.2959
A6	6	Computer Technology	0.0058	0.179
A8	2	Semiconductors	0.0019	0.1258
B1	15	Optics	0.0145	0.7672
B2	44	Measurement	0.0424	0.8531
B3	3	Analysis of Biological Materials	0.0029	0.3671
B4	23	Control	0.0222	1.4051
B5	35	Medical Technology	0.0337	0.7294
C1	10	Organic Fine Chemistery	0.0096	0.2092
C10	49	Chemical Engineering	0.0472	1.5425
C11	27	Environmental Technology	0.026	1.7105
C2	3	Biotechnology	0.0029	0.1025
C3	11	Pharmaceuticals	0.0106	0.2459
C4	3	Macromolecular chemistery, polymers	0.0029	0.1103
C5	3	Food chemistery	0.0029	0.2522
C6	33	Basic materials chemistery	0.0318	1.1237
C7	17	Materials, metallurgy	0.0164	0.8039
C8	8	Surface technology, coating	0.0077	0.5238
D1	124	Handling	0.1195	2.8052
D2	45	Machine Tools	0.0434	1.3395
D3	67	Engines, Pumps, Turbines	0.0645	1.9139
D4	27	Textile and Paper Machines	0.026	0.9701
D5	21	Other Special Machines	0.0202	0.5063
D6	23	Thermal Processes and Apparatus	0.0222	1.0882
D7	51	Mechanical Elements	0.0491	1.2005
D8	84	Transport	0.0809	1.407
E1	71	Furniture, Games	0.0684	2.8619
E2	87	Other Consumer Goods	0.0838	3.8618
E3	69	Civil Engineering	0.0665	1.3971
