letter	number	name	frequency	specialisation
A1	2	Electrical Machinery, apparatus, energy	0.0102	0.1697
A2	5	Audio-Visual Technology	0.0255	0.9623
A4	2	Digital Communication	0.0102	0.2906
A6	4	Computer Technology	0.0204	0.6296
B1	7	Optics	0.0357	1.8889
B2	9	Measurement	0.0459	0.9235
B4	1	Control	0.0051	0.3228
B5	7	Medical Technology	0.0357	0.7727
C1	2	Organic Fine Chemistery	0.0102	0.2222
C10	8	Chemical Engineering	0.0408	1.3333
C11	5	Environmental Technology	0.0255	1.6776
C2	1	Biotechnology	0.0051	0.1802
C3	2	Pharmaceuticals	0.0102	0.2367
C4	7	Macromolecular chemistery, polymers	0.0357	1.3574
C5	1	Food chemistery	0.0051	0.4435
C6	8	Basic materials chemistery	0.0408	1.4417
C7	3	Materials, metallurgy	0.0153	0.75
C8	5	Surface technology, coating	0.0255	1.7347
D1	16	Handling	0.0816	1.9155
D2	7	Machine Tools	0.0357	1.1019
D3	3	Engines, Pumps, Turbines	0.0153	0.454
D4	7	Textile and Paper Machines	0.0357	1.3321
D5	11	Other Special Machines	0.0561	1.406
D6	9	Thermal Processes and Apparatus	0.0459	2.25
D7	9	Mechanical Elements	0.0459	1.1222
D8	23	Transport	0.1173	2.04
E2	5	Other Consumer Goods	0.0255	1.1751
E3	27	Civil Engineering	0.1378	2.895
