letter	number	name	frequency	specialisation
A1	6	Electrical Machinery, apparatus, energy	0.1538	2.5591
A3	2	Telecommunications	0.0513	1.9884
B1	4	Optics	0.1026	5.4286
B4	3	Control	0.0769	4.8671
C1	1	Organic Fine Chemistery	0.0256	0.5577
C10	4	Chemical Engineering	0.1026	3.3529
C2	4	Biotechnology	0.1026	3.6254
C3	2	Pharmaceuticals	0.0513	1.1903
C5	3	Food chemistery	0.0769	6.687
C6	2	Basic materials chemistery	0.0513	1.8127
C8	3	Surface technology, coating	0.0769	5.2313
D1	1	Handling	0.0256	0.6009
D2	1	Machine Tools	0.0256	0.7901
D3	1	Engines, Pumps, Turbines	0.0256	0.7596
D5	1	Other Special Machines	0.0256	0.6416
D8	1	Transport	0.0256	0.4452
