letter	number	name	frequency	specialisation
A1	110	Electrical Machinery, apparatus, energy	0.0564	0.9384
A2	17	Audio-Visual Technology	0.0087	0.3283
A3	7	Telecommunications	0.0036	0.1395
A4	1	Digital Communication	5e-04	0.0142
A5	14	Basic Communication Processes	0.0072	0.7347
A6	8	Computer Technology	0.0041	0.1265
A7	5	IT Methods for Management	0.0026	0.619
A8	35	Semiconductors	0.0179	1.1854
B1	3	Optics	0.0015	0.0794
B2	145	Measurement	0.0743	1.495
B3	1	Analysis of Biological Materials	5e-04	0.0633
B4	8	Control	0.0041	0.2595
B5	29	Medical Technology	0.0149	0.3225
C1	14	Organic Fine Chemistery	0.0072	0.1569
C10	88	Chemical Engineering	0.0451	1.4739
C11	47	Environmental Technology	0.0241	1.5855
C2	5	Biotechnology	0.0026	0.0919
C3	19	Pharmaceuticals	0.0097	0.2251
C4	161	Macromolecular chemistery, polymers	0.0825	3.1369
C5	7	Food chemistery	0.0036	0.313
C6	129	Basic materials chemistery	0.0661	2.3357
C7	139	Materials, metallurgy	0.0712	3.4902
C8	32	Surface technology, coating	0.0164	1.1156
D1	143	Handling	0.0733	1.7207
D2	102	Machine Tools	0.0523	1.6142
D3	75	Engines, Pumps, Turbines	0.0384	1.1395
D4	119	Textile and Paper Machines	0.061	2.2761
D5	95	Other Special Machines	0.0487	1.2206
D6	47	Thermal Processes and Apparatus	0.0241	1.1814
D7	50	Mechanical Elements	0.0256	0.6259
D8	89	Transport	0.0456	0.793
E1	33	Furniture, Games	0.0169	0.7071
E2	12	Other Consumer Goods	0.0061	0.2811
E3	163	Civil Engineering	0.0835	1.7542
