letter	number	name	frequency	specialisation
A1	253	Electrical Machinery, apparatus, energy	0.1325	2.2047
A2	42	Audio-Visual Technology	0.022	0.8302
A3	9	Telecommunications	0.0047	0.1822
A4	12	Digital Communication	0.0063	0.1795
A5	20	Basic Communication Processes	0.0105	1.0714
A6	49	Computer Technology	0.0257	0.7932
A8	89	Semiconductors	0.0466	3.0861
B1	17	Optics	0.0089	0.4709
B2	55	Measurement	0.0288	0.5795
B4	20	Control	0.0105	0.6646
B5	255	Medical Technology	0.1336	2.8918
C1	14	Organic Fine Chemistery	0.0073	0.159
C10	38	Chemical Engineering	0.0199	0.6503
C11	14	Environmental Technology	0.0073	0.4803
C2	8	Biotechnology	0.0042	0.1484
C4	6	Macromolecular chemistery, polymers	0.0031	0.1179
C6	6	Basic materials chemistery	0.0031	0.1095
C7	25	Materials, metallurgy	0.0131	0.6422
C8	14	Surface technology, coating	0.0073	0.4966
C9	1	Micro-structural and nano-technology	5e-04	0.8333
D1	53	Handling	0.0278	0.6526
D2	28	Machine Tools	0.0147	0.4537
D3	21	Engines, Pumps, Turbines	0.011	0.3264
D4	61	Textile and Paper Machines	0.032	1.194
D5	29	Other Special Machines	0.0152	0.381
D6	31	Thermal Processes and Apparatus	0.0162	0.7941
D7	49	Mechanical Elements	0.0257	0.6284
D8	177	Transport	0.0927	1.6122
E1	337	Furniture, Games	0.1765	7.3849
E2	84	Other Consumer Goods	0.044	2.0276
E3	92	Civil Engineering	0.0482	1.0126
