letter	number	name	frequency	specialisation
A1	9	Electrical Machinery, apparatus, energy	0.0074	0.1231
A2	13	Audio-Visual Technology	0.0107	0.4038
A3	23	Telecommunications	0.0189	0.7326
A4	16	Digital Communication	0.0131	0.3732
A5	3	Basic Communication Processes	0.0025	0.2551
A6	14	Computer Technology	0.0115	0.3549
A7	6	IT Methods for Management	0.0049	1.1667
A8	9	Semiconductors	0.0074	0.4901
B1	24	Optics	0.0197	1.0423
B2	28	Measurement	0.023	0.4628
B3	19	Analysis of Biological Materials	0.0156	1.9747
B4	37	Control	0.0304	1.9241
B5	112	Medical Technology	0.092	1.9913
C1	17	Organic Fine Chemistery	0.014	0.305
C10	62	Chemical Engineering	0.0509	1.6634
C11	36	Environmental Technology	0.0296	1.9474
C2	29	Biotechnology	0.0238	0.841
C3	21	Pharmaceuticals	0.0173	0.4014
C4	25	Macromolecular chemistery, polymers	0.0205	0.7795
C5	200	Food chemistery	0.1643	14.287
C6	14	Basic materials chemistery	0.0115	0.4064
C7	6	Materials, metallurgy	0.0049	0.2402
C8	3	Surface technology, coating	0.0025	0.1701
D1	82	Handling	0.0674	1.5822
D2	16	Machine Tools	0.0131	0.4043
D3	4	Engines, Pumps, Turbines	0.0033	0.0979
D4	10	Textile and Paper Machines	0.0082	0.306
D5	138	Other Special Machines	0.1134	2.8421
D6	50	Thermal Processes and Apparatus	0.0411	2.0147
D7	41	Mechanical Elements	0.0337	0.824
D8	61	Transport	0.0501	0.8713
E1	16	Furniture, Games	0.0131	0.5481
E2	22	Other Consumer Goods	0.0181	0.8341
E3	51	Civil Engineering	0.0419	0.8803
