letter	number	name	frequency	specialisation
A1	421	Electrical Machinery, apparatus, energy	0.0702	1.1681
A2	160	Audio-Visual Technology	0.0267	1.0075
A3	147	Telecommunications	0.0245	0.9496
A4	31	Digital Communication	0.0052	0.1481
A5	55	Basic Communication Processes	0.0092	0.9388
A6	48	Computer Technology	0.008	0.2469
A8	10	Semiconductors	0.0017	0.1126
B1	35	Optics	0.0058	0.3069
B2	218	Measurement	0.0364	0.7324
B3	13	Analysis of Biological Materials	0.0022	0.2785
B4	102	Control	0.017	1.0759
B5	56	Medical Technology	0.0093	0.2013
C1	298	Organic Fine Chemistery	0.0497	1.0828
C10	99	Chemical Engineering	0.0165	0.5392
C11	72	Environmental Technology	0.012	0.7895
C2	76	Biotechnology	0.0127	0.4488
C3	103	Pharmaceuticals	0.0172	0.3991
C4	214	Macromolecular chemistery, polymers	0.0357	1.3574
C5	201	Food chemistery	0.0335	2.913
C6	141	Basic materials chemistery	0.0235	0.8304
C7	82	Materials, metallurgy	0.0137	0.6716
C8	81	Surface technology, coating	0.0135	0.9184
D1	166	Handling	0.0277	0.6502
D2	249	Machine Tools	0.0415	1.2809
D3	296	Engines, Pumps, Turbines	0.0494	1.4659
D4	46	Textile and Paper Machines	0.0077	0.2873
D5	519	Other Special Machines	0.0865	2.1679
D6	128	Thermal Processes and Apparatus	0.0213	1.0441
D7	366	Mechanical Elements	0.061	1.4914
D8	945	Transport	0.1576	2.7409
E1	131	Furniture, Games	0.0218	0.9121
E2	94	Other Consumer Goods	0.0157	0.7235
E3	394	Civil Engineering	0.0657	1.3803
