letter	number	name	frequency	specialisation
A1	14	Electrical Machinery, apparatus, energy	0.0418	0.6955
A2	3	Audio-Visual Technology	0.009	0.3396
A6	1	Computer Technology	0.003	0.0926
B1	4	Optics	0.0119	0.6296
B2	1	Measurement	0.003	0.0604
B4	5	Control	0.0149	0.943
B5	5	Medical Technology	0.0149	0.3225
C10	1	Chemical Engineering	0.003	0.098
C11	6	Environmental Technology	0.0179	1.1776
C3	2	Pharmaceuticals	0.006	0.1392
C7	3	Materials, metallurgy	0.009	0.4412
C8	4	Surface technology, coating	0.0119	0.8095
D1	22	Handling	0.0657	1.5423
D2	14	Machine Tools	0.0418	1.2901
D3	6	Engines, Pumps, Turbines	0.0179	0.5312
D4	7	Textile and Paper Machines	0.0209	0.7799
D5	20	Other Special Machines	0.0597	1.4962
D6	41	Thermal Processes and Apparatus	0.1224	6
D7	49	Mechanical Elements	0.1463	3.577
D8	54	Transport	0.1612	2.8035
E1	12	Furniture, Games	0.0358	1.4979
E2	2	Other Consumer Goods	0.006	0.2765
E3	59	Civil Engineering	0.1761	3.6996
