letter	number	name	frequency	specialisation
A1	591	Electrical Machinery, apparatus, energy	0.2077	3.4559
A2	97	Audio-Visual Technology	0.0341	1.2868
A3	78	Telecommunications	0.0274	1.062
A4	27	Digital Communication	0.0095	0.2707
A5	90	Basic Communication Processes	0.0316	3.2245
A6	73	Computer Technology	0.0257	0.7932
A7	6	IT Methods for Management	0.0021	0.5
A8	5	Semiconductors	0.0018	0.1192
B1	17	Optics	0.006	0.3175
B2	249	Measurement	0.0875	1.7606
B3	10	Analysis of Biological Materials	0.0035	0.443
B4	55	Control	0.0193	1.2215
B5	77	Medical Technology	0.0271	0.5866
C1	4	Organic Fine Chemistery	0.0014	0.0305
C10	106	Chemical Engineering	0.0373	1.219
C11	55	Environmental Technology	0.0193	1.2697
C2	28	Biotechnology	0.0098	0.3463
C3	19	Pharmaceuticals	0.0067	0.1555
C4	31	Macromolecular chemistery, polymers	0.0109	0.4144
C5	3	Food chemistery	0.0011	0.0957
C6	24	Basic materials chemistery	0.0084	0.2968
C7	62	Materials, metallurgy	0.0218	1.0686
C8	29	Surface technology, coating	0.0102	0.6939
C9	1	Micro-structural and nano-technology	4e-04	0.6667
D1	121	Handling	0.0425	0.9977
D2	67	Machine Tools	0.0236	0.7284
D3	90	Engines, Pumps, Turbines	0.0316	0.9377
D4	13	Textile and Paper Machines	0.0046	0.1716
D5	72	Other Special Machines	0.0253	0.6341
D6	242	Thermal Processes and Apparatus	0.0851	4.1716
D7	103	Mechanical Elements	0.0362	0.8851
D8	171	Transport	0.0601	1.0452
E1	55	Furniture, Games	0.0193	0.8075
E2	32	Other Consumer Goods	0.0112	0.5161
E3	142	Civil Engineering	0.0499	1.0483
