letter	number	name	frequency	specialisation
A1	33	Electrical Machinery, apparatus, energy	0.0442	0.7354
A2	5	Audio-Visual Technology	0.0067	0.2528
A3	5	Telecommunications	0.0067	0.2597
A4	3	Digital Communication	0.004	0.114
A6	8	Computer Technology	0.0107	0.3302
A7	4	IT Methods for Management	0.0054	1.2857
A8	6	Semiconductors	0.008	0.5298
B1	4	Optics	0.0054	0.2857
B2	34	Measurement	0.0456	0.9175
B4	23	Control	0.0308	1.9494
B5	27	Medical Technology	0.0362	0.7835
C1	13	Organic Fine Chemistery	0.0174	0.3791
C10	13	Chemical Engineering	0.0174	0.5686
C11	10	Environmental Technology	0.0134	0.8816
C2	43	Biotechnology	0.0576	2.0353
C3	66	Pharmaceuticals	0.0885	2.0534
C4	3	Macromolecular chemistery, polymers	0.004	0.1521
C5	10	Food chemistery	0.0134	1.1652
C6	8	Basic materials chemistery	0.0107	0.3781
C7	9	Materials, metallurgy	0.0121	0.5931
C8	16	Surface technology, coating	0.0214	1.4558
D1	68	Handling	0.0912	2.1408
D2	17	Machine Tools	0.0228	0.7037
D3	72	Engines, Pumps, Turbines	0.0965	2.8635
D4	20	Textile and Paper Machines	0.0268	1
D5	46	Other Special Machines	0.0617	1.5464
D6	16	Thermal Processes and Apparatus	0.0214	1.049
D7	16	Mechanical Elements	0.0214	0.5232
D8	50	Transport	0.067	1.1652
E1	13	Furniture, Games	0.0174	0.728
E2	4	Other Consumer Goods	0.0054	0.2488
E3	81	Civil Engineering	0.1086	2.2815
