letter	number	name	frequency	specialisation
A1	28	Electrical Machinery, apparatus, energy	0.0266	0.4426
A2	1	Audio-Visual Technology	9e-04	0.034
A3	1	Telecommunications	9e-04	0.0349
A4	1	Digital Communication	9e-04	0.0256
A6	6	Computer Technology	0.0057	0.1759
A7	1	IT Methods for Management	9e-04	0.2143
A8	11	Semiconductors	0.0104	0.6887
B2	15	Measurement	0.0142	0.2857
B3	7	Analysis of Biological Materials	0.0066	0.8354
B4	18	Control	0.0171	1.0823
B5	18	Medical Technology	0.0171	0.3701
C1	19	Organic Fine Chemistery	0.018	0.3922
C10	49	Chemical Engineering	0.0465	1.5196
C11	18	Environmental Technology	0.0171	1.125
C2	74	Biotechnology	0.0702	2.4806
C3	34	Pharmaceuticals	0.0323	0.7494
C4	75	Macromolecular chemistery, polymers	0.0712	2.7072
C5	12	Food chemistery	0.0114	0.9913
C6	64	Basic materials chemistery	0.0607	2.1449
C7	48	Materials, metallurgy	0.0455	2.2304
C8	39	Surface technology, coating	0.037	2.517
D1	70	Handling	0.0664	1.5587
D2	86	Machine Tools	0.0816	2.5185
D3	3	Engines, Pumps, Turbines	0.0028	0.0831
D4	9	Textile and Paper Machines	0.0085	0.3172
D5	55	Other Special Machines	0.0522	1.3083
D6	42	Thermal Processes and Apparatus	0.0398	1.951
D7	43	Mechanical Elements	0.0408	0.9976
D8	64	Transport	0.0607	1.0557
E1	7	Furniture, Games	0.0066	0.2762
E2	4	Other Consumer Goods	0.0038	0.1751
E3	132	Civil Engineering	0.1252	2.6303
