letter	number	name	frequency	specialisation
A1	898	Electrical Machinery, apparatus, energy	0.8544	14.2163
A2	10	Audio-Visual Technology	0.0095	0.3585
A3	3	Telecommunications	0.0029	0.1124
A5	6	Basic Communication Processes	0.0057	0.5816
A7	1	IT Methods for Management	0.001	0.2381
B1	2	Optics	0.0019	0.1005
B2	5	Measurement	0.0048	0.0966
B4	14	Control	0.0133	0.8418
B5	6	Medical Technology	0.0057	0.1234
C10	5	Chemical Engineering	0.0048	0.1569
C11	9	Environmental Technology	0.0086	0.5658
C4	1	Macromolecular chemistery, polymers	0.001	0.038
C6	1	Basic materials chemistery	0.001	0.0353
C7	3	Materials, metallurgy	0.0029	0.1422
D1	18	Handling	0.0171	0.4014
D2	4	Machine Tools	0.0038	0.1173
D3	2	Engines, Pumps, Turbines	0.0019	0.0564
D4	4	Textile and Paper Machines	0.0038	0.1418
D5	3	Other Special Machines	0.0029	0.0727
D7	31	Mechanical Elements	0.0295	0.7213
D8	4	Transport	0.0038	0.0661
E1	10	Furniture, Games	0.0095	0.3975
E3	11	Civil Engineering	0.0105	0.2206
