letter	number	name	frequency	specialisation
A1	2	Electrical Machinery, apparatus, energy	0.0114	0.1897
A2	3	Audio-Visual Technology	0.0171	0.6453
A3	1	Telecommunications	0.0057	0.2209
B2	2	Measurement	0.0114	0.2294
B4	5	Control	0.0286	1.8101
B5	11	Medical Technology	0.0629	1.3615
C1	8	Organic Fine Chemistery	0.0457	0.9956
C10	16	Chemical Engineering	0.0914	2.9869
C11	4	Environmental Technology	0.0229	1.5066
C3	2	Pharmaceuticals	0.0114	0.2645
C5	18	Food chemistery	0.1029	8.9478
D1	6	Handling	0.0343	0.8052
D2	3	Machine Tools	0.0171	0.5278
D3	3	Engines, Pumps, Turbines	0.0171	0.5074
D5	26	Other Special Machines	0.1486	3.7243
D6	2	Thermal Processes and Apparatus	0.0114	0.5588
D7	1	Mechanical Elements	0.0057	0.1394
D8	37	Transport	0.2114	3.6765
E1	16	Furniture, Games	0.0914	3.8243
E2	1	Other Consumer Goods	0.0057	0.2627
E3	8	Civil Engineering	0.0457	0.9601
