letter	number	name	frequency	specialisation
A1	23	Electrical Machinery, apparatus, energy	0.0122	0.203
A2	43	Audio-Visual Technology	0.0228	0.8604
A3	3	Telecommunications	0.0016	0.062
A4	3	Digital Communication	0.0016	0.0456
A5	1	Basic Communication Processes	5e-04	0.051
A6	21	Computer Technology	0.0111	0.3426
A8	3	Semiconductors	0.0016	0.106
B1	8	Optics	0.0042	0.2222
B2	79	Measurement	0.0419	0.8431
B3	14	Analysis of Biological Materials	0.0074	0.9367
B4	42	Control	0.0223	1.4114
B5	223	Medical Technology	0.1182	2.5584
C1	38	Organic Fine Chemistery	0.0201	0.4379
C10	62	Chemical Engineering	0.0329	1.0752
C11	60	Environmental Technology	0.0318	2.0921
C2	5	Biotechnology	0.0027	0.0954
C3	16	Pharmaceuticals	0.0085	0.1972
C4	29	Macromolecular chemistery, polymers	0.0154	0.5856
C5	31	Food chemistery	0.0164	1.4261
C6	129	Basic materials chemistery	0.0684	2.417
C7	49	Materials, metallurgy	0.026	1.2745
C8	26	Surface technology, coating	0.0138	0.9388
D1	121	Handling	0.0642	1.507
D2	162	Machine Tools	0.0859	2.6512
D3	72	Engines, Pumps, Turbines	0.0382	1.1335
D4	65	Textile and Paper Machines	0.0345	1.2873
D5	203	Other Special Machines	0.1076	2.6967
D6	22	Thermal Processes and Apparatus	0.0117	0.5735
D7	118	Mechanical Elements	0.0626	1.5306
D8	56	Transport	0.0297	0.5165
E1	20	Furniture, Games	0.0106	0.4435
E2	38	Other Consumer Goods	0.0201	0.9263
E3	101	Civil Engineering	0.0536	1.1261
