letter	number	name	frequency	specialisation
A1	28	Electrical Machinery, apparatus, energy	0.0149	0.2479
A2	48	Audio-Visual Technology	0.0256	0.966
A3	146	Telecommunications	0.0779	3.0194
A4	21	Digital Communication	0.0112	0.3191
A5	8	Basic Communication Processes	0.0043	0.4388
A6	81	Computer Technology	0.0432	1.3333
A7	5	IT Methods for Management	0.0027	0.6429
A8	5	Semiconductors	0.0027	0.1788
B1	12	Optics	0.0064	0.3386
B2	36	Measurement	0.0192	0.3863
B3	12	Analysis of Biological Materials	0.0064	0.8101
B4	26	Control	0.0139	0.8797
B5	231	Medical Technology	0.1233	2.6688
C1	22	Organic Fine Chemistery	0.0117	0.2549
C10	205	Chemical Engineering	0.1095	3.5784
C11	30	Environmental Technology	0.016	1.0526
C2	28	Biotechnology	0.0149	0.5265
C3	94	Pharmaceuticals	0.0502	1.1647
C4	20	Macromolecular chemistery, polymers	0.0107	0.4068
C5	19	Food chemistery	0.0101	0.8783
C6	29	Basic materials chemistery	0.0155	0.5477
C7	26	Materials, metallurgy	0.0139	0.6814
C8	34	Surface technology, coating	0.0182	1.2381
C9	2	Micro-structural and nano-technology	0.0011	1.8333
D1	171	Handling	0.0913	2.1432
D2	31	Machine Tools	0.0166	0.5123
D3	11	Engines, Pumps, Turbines	0.0059	0.1751
D4	29	Textile and Paper Machines	0.0155	0.5784
D5	30	Other Special Machines	0.016	0.401
D6	83	Thermal Processes and Apparatus	0.0443	2.1716
D7	84	Mechanical Elements	0.0448	1.0954
D8	80	Transport	0.0427	0.7426
E1	16	Furniture, Games	0.0085	0.3556
E2	12	Other Consumer Goods	0.0064	0.2949
E3	158	Civil Engineering	0.0844	1.7731
