letter	number	name	frequency	specialisation
A1	1	Electrical Machinery, apparatus, energy	0.0145	0.2413
B1	1	Optics	0.0145	0.7672
B2	2	Measurement	0.029	0.5835
B4	1	Control	0.0145	0.9177
B5	1	Medical Technology	0.0145	0.3139
C1	5	Organic Fine Chemistery	0.0725	1.5795
C10	9	Chemical Engineering	0.1304	4.2614
C2	7	Biotechnology	0.1014	3.583
C7	4	Materials, metallurgy	0.058	2.8431
D1	4	Handling	0.058	1.3615
D2	4	Machine Tools	0.058	1.7901
D3	12	Engines, Pumps, Turbines	0.1739	5.1602
D5	3	Other Special Machines	0.0435	1.0902
D6	5	Thermal Processes and Apparatus	0.0725	3.5539
D7	3	Mechanical Elements	0.0435	1.0636
D8	3	Transport	0.0435	0.7565
E3	4	Civil Engineering	0.058	1.2185
