letter	number	name	frequency	specialisation
A1	1231	Electrical Machinery, apparatus, energy	0.0689	1.1464
A2	183	Audio-Visual Technology	0.0102	0.3849
A3	183	Telecommunications	0.0102	0.3953
A4	119	Digital Communication	0.0067	0.1909
A5	257	Basic Communication Processes	0.0144	1.4694
A6	316	Computer Technology	0.0177	0.5463
A7	5	IT Methods for Management	3e-04	0.0714
A8	493	Semiconductors	0.0276	1.8278
B1	134	Optics	0.0075	0.3968
B2	482	Measurement	0.027	0.5433
B3	37	Analysis of Biological Materials	0.0021	0.2658
B4	196	Control	0.011	0.6962
B5	372	Medical Technology	0.0208	0.4502
C1	1161	Organic Fine Chemistery	0.0649	1.4139
C10	575	Chemical Engineering	0.0322	1.0523
C11	255	Environmental Technology	0.0143	0.9408
C2	208	Biotechnology	0.0116	0.4099
C3	674	Pharmaceuticals	0.0377	0.8747
C4	1331	Macromolecular chemistery, polymers	0.0744	2.8289
C5	258	Food chemistery	0.0144	1.2522
C6	353	Basic materials chemistery	0.0197	0.6961
C7	291	Materials, metallurgy	0.0163	0.799
C8	180	Surface technology, coating	0.0101	0.6871
C9	26	Micro-structural and nano-technology	0.0015	2.5
D1	1082	Handling	0.0605	1.4202
D2	595	Machine Tools	0.0333	1.0278
D3	434	Engines, Pumps, Turbines	0.0243	0.7211
D4	1111	Textile and Paper Machines	0.0621	2.3172
D5	825	Other Special Machines	0.0461	1.1554
D6	373	Thermal Processes and Apparatus	0.0209	1.0245
D7	818	Mechanical Elements	0.0458	1.1198
D8	767	Transport	0.0429	0.7461
E1	964	Furniture, Games	0.0539	2.2552
E2	531	Other Consumer Goods	0.0297	1.3687
E3	1058	Civil Engineering	0.0592	1.2437
