letter	number	name	frequency	specialisation
A1	4	Electrical Machinery, apparatus, energy	0.0081	0.1348
A2	6	Audio-Visual Technology	0.0121	0.4566
A3	3	Telecommunications	0.006	0.2326
A4	4	Digital Communication	0.0081	0.2308
A5	9	Basic Communication Processes	0.0181	1.8469
A6	3	Computer Technology	0.006	0.1852
A8	4	Semiconductors	0.0081	0.5364
B2	27	Measurement	0.0544	1.0946
B4	13	Control	0.0262	1.6582
B5	31	Medical Technology	0.0625	1.3528
C10	13	Chemical Engineering	0.0262	0.8562
C11	6	Environmental Technology	0.0121	0.7961
C2	10	Biotechnology	0.0202	0.7138
C5	15	Food chemistery	0.0302	2.6261
C6	1	Basic materials chemistery	0.002	0.0707
C7	1	Materials, metallurgy	0.002	0.098
C8	6	Surface technology, coating	0.0121	0.8231
D1	59	Handling	0.119	2.7934
D2	11	Machine Tools	0.0222	0.6852
D3	8	Engines, Pumps, Turbines	0.0161	0.4777
D4	2	Textile and Paper Machines	0.004	0.1493
D5	87	Other Special Machines	0.1754	4.396
D6	7	Thermal Processes and Apparatus	0.0141	0.6912
D7	26	Mechanical Elements	0.0524	1.2812
D8	42	Transport	0.0847	1.473
E1	22	Furniture, Games	0.0444	1.8577
E3	76	Civil Engineering	0.1532	3.2185
