letter	number	name	frequency	specialisation
A1	38	Electrical Machinery, apparatus, energy	0.0706	1.1747
A6	3	Computer Technology	0.0056	0.1728
A8	1	Semiconductors	0.0019	0.1258
B1	40	Optics	0.0743	3.9312
B2	15	Measurement	0.0279	0.5614
B3	4	Analysis of Biological Materials	0.0074	0.9367
B4	9	Control	0.0167	1.057
B5	4	Medical Technology	0.0074	0.1602
C1	2	Organic Fine Chemistery	0.0037	0.0806
C10	10	Chemical Engineering	0.0186	0.6078
C11	9	Environmental Technology	0.0167	1.0987
C2	8	Biotechnology	0.0149	0.5265
C4	3	Macromolecular chemistery, polymers	0.0056	0.2129
C5	4	Food chemistery	0.0074	0.6435
C6	74	Basic materials chemistery	0.1375	4.8587
C7	8	Materials, metallurgy	0.0149	0.7304
C8	6	Surface technology, coating	0.0112	0.7619
D1	30	Handling	0.0558	1.3099
D2	8	Machine Tools	0.0149	0.4599
D3	8	Engines, Pumps, Turbines	0.0149	0.4421
D4	27	Textile and Paper Machines	0.0502	1.8731
D5	111	Other Special Machines	0.2063	5.1704
D6	5	Thermal Processes and Apparatus	0.0093	0.4559
D7	22	Mechanical Elements	0.0409	1
D8	30	Transport	0.0558	0.9704
E1	15	Furniture, Games	0.0279	1.1674
E2	12	Other Consumer Goods	0.0223	1.0276
E3	32	Civil Engineering	0.0595	1.25
