letter	number	name	frequency	specialisation
A1	428	Electrical Machinery, apparatus, energy	0.0634	1.0549
A2	581	Audio-Visual Technology	0.0861	3.2491
A3	109	Telecommunications	0.0161	0.624
A4	30	Digital Communication	0.0044	0.1254
A5	102	Basic Communication Processes	0.0151	1.5408
A6	69	Computer Technology	0.0102	0.3148
A7	5	IT Methods for Management	7e-04	0.1667
A8	149	Semiconductors	0.0221	1.4636
B1	54	Optics	0.008	0.4233
B2	293	Measurement	0.0434	0.8732
B3	9	Analysis of Biological Materials	0.0013	0.1646
B4	89	Control	0.0132	0.8354
B5	209	Medical Technology	0.031	0.671
C1	64	Organic Fine Chemistery	0.0095	0.207
C10	122	Chemical Engineering	0.0181	0.5915
C11	137	Environmental Technology	0.0203	1.3355
C2	26	Biotechnology	0.0039	0.1378
C3	56	Pharmaceuticals	0.0083	0.1926
C4	27	Macromolecular chemistery, polymers	0.004	0.1521
C5	28	Food chemistery	0.0041	0.3565
C6	113	Basic materials chemistery	0.0167	0.5901
C7	126	Materials, metallurgy	0.0187	0.9167
C8	75	Surface technology, coating	0.0111	0.7551
D1	259	Handling	0.0384	0.9014
D2	243	Machine Tools	0.036	1.1111
D3	197	Engines, Pumps, Turbines	0.0292	0.8665
D4	185	Textile and Paper Machines	0.0274	1.0224
D5	454	Other Special Machines	0.0673	1.6867
D6	200	Thermal Processes and Apparatus	0.0296	1.451
D7	555	Mechanical Elements	0.0822	2.0098
D8	538	Transport	0.0797	1.3861
E1	309	Furniture, Games	0.0458	1.9163
E2	350	Other Consumer Goods	0.0519	2.3917
E3	559	Civil Engineering	0.0828	1.7395
