letter	number	name	frequency	specialisation
A1	3	Electrical Machinery, apparatus, energy	0.0192	0.3195
A2	1	Audio-Visual Technology	0.0064	0.2415
B2	9	Measurement	0.0577	1.161
B4	7	Control	0.0449	2.8418
B5	3	Medical Technology	0.0192	0.4156
C1	1	Organic Fine Chemistery	0.0064	0.1394
C10	9	Chemical Engineering	0.0577	1.8856
C11	1	Environmental Technology	0.0064	0.4211
C2	8	Biotechnology	0.0513	1.8127
C3	1	Pharmaceuticals	0.0064	0.1485
C5	1	Food chemistery	0.0064	0.5565
C6	3	Basic materials chemistery	0.0192	0.6784
C7	1	Materials, metallurgy	0.0064	0.3137
D1	18	Handling	0.1154	2.7089
D2	5	Machine Tools	0.0321	0.9907
D3	1	Engines, Pumps, Turbines	0.0064	0.1899
D5	34	Other Special Machines	0.2179	5.4612
D6	1	Thermal Processes and Apparatus	0.0064	0.3137
D7	11	Mechanical Elements	0.0705	1.7237
D8	5	Transport	0.0321	0.5583
E1	16	Furniture, Games	0.1026	4.2929
E2	2	Other Consumer Goods	0.0128	0.5899
E3	15	Civil Engineering	0.0962	2.021
