letter	number	name	frequency	specialisation
A1	4	Electrical Machinery, apparatus, energy	0.0131	0.218
A2	3	Audio-Visual Technology	0.0098	0.3698
A3	131	Telecommunications	0.4281	16.593
A4	22	Digital Communication	0.0719	2.0484
A5	1	Basic Communication Processes	0.0033	0.3367
A6	15	Computer Technology	0.049	1.5123
B1	1	Optics	0.0033	0.1746
B2	24	Measurement	0.0784	1.5775
B4	10	Control	0.0327	2.0696
B5	21	Medical Technology	0.0686	1.4848
C10	4	Chemical Engineering	0.0131	0.4281
C11	1	Environmental Technology	0.0033	0.2171
C5	1	Food chemistery	0.0033	0.287
C6	5	Basic materials chemistery	0.0163	0.576
C7	2	Materials, metallurgy	0.0065	0.3186
C8	1	Surface technology, coating	0.0033	0.2245
D1	1	Handling	0.0033	0.0775
D2	12	Machine Tools	0.0392	1.2099
D4	1	Textile and Paper Machines	0.0033	0.1231
D5	1	Other Special Machines	0.0033	0.0827
D6	2	Thermal Processes and Apparatus	0.0065	0.3186
D8	22	Transport	0.0719	1.2504
E2	1	Other Consumer Goods	0.0033	0.1521
E3	20	Civil Engineering	0.0654	1.3739
