letter	number	name	frequency	specialisation
A1	34	Electrical Machinery, apparatus, energy	0.0429	0.7138
A2	1	Audio-Visual Technology	0.0013	0.0491
A3	1	Telecommunications	0.0013	0.0504
A4	1	Digital Communication	0.0013	0.037
A5	1	Basic Communication Processes	0.0013	0.1327
A6	7	Computer Technology	0.0088	0.2716
A7	1	IT Methods for Management	0.0013	0.3095
A8	1	Semiconductors	0.0013	0.0861
B1	9	Optics	0.0113	0.5979
B2	90	Measurement	0.1135	2.2837
B3	23	Analysis of Biological Materials	0.029	3.6709
B4	5	Control	0.0063	0.3987
B5	62	Medical Technology	0.0782	1.6926
C1	17	Organic Fine Chemistery	0.0214	0.4662
C10	33	Chemical Engineering	0.0416	1.3595
C11	11	Environmental Technology	0.0139	0.9145
C2	31	Biotechnology	0.0391	1.3816
C3	51	Pharmaceuticals	0.0643	1.4919
C4	10	Macromolecular chemistery, polymers	0.0126	0.4791
C5	4	Food chemistery	0.005	0.4348
C6	241	Basic materials chemistery	0.3039	10.7385
C7	5	Materials, metallurgy	0.0063	0.3088
C8	11	Surface technology, coating	0.0139	0.9456
C9	4	Micro-structural and nano-technology	0.005	8.3333
D1	27	Handling	0.034	0.7981
D2	11	Machine Tools	0.0139	0.429
D3	21	Engines, Pumps, Turbines	0.0265	0.7864
D4	1	Textile and Paper Machines	0.0013	0.0485
D5	16	Other Special Machines	0.0202	0.5063
D6	14	Thermal Processes and Apparatus	0.0177	0.8676
D7	8	Mechanical Elements	0.0101	0.2469
D8	8	Transport	0.0101	0.1757
E1	9	Furniture, Games	0.0113	0.4728
E2	4	Other Consumer Goods	0.005	0.2304
E3	20	Civil Engineering	0.0252	0.5294
