letter	number	name	frequency	specialisation
A1	1	Electrical Machinery, apparatus, energy	0.0046	0.0765
A8	2	Semiconductors	0.0093	0.6159
B2	1	Measurement	0.0046	0.0926
C1	78	Organic Fine Chemistery	0.3611	7.8671
C10	10	Chemical Engineering	0.0463	1.5131
C11	1	Environmental Technology	0.0046	0.3026
C2	1	Biotechnology	0.0046	0.1625
C4	70	Macromolecular chemistery, polymers	0.3241	12.3232
C5	8	Food chemistery	0.037	3.2174
C6	6	Basic materials chemistery	0.0278	0.9823
C7	7	Materials, metallurgy	0.0324	1.5882
C8	8	Surface technology, coating	0.037	2.517
D2	3	Machine Tools	0.0139	0.429
D4	2	Textile and Paper Machines	0.0093	0.347
D5	2	Other Special Machines	0.0093	0.2331
D6	8	Thermal Processes and Apparatus	0.037	1.8137
D8	4	Transport	0.0185	0.3217
E1	3	Furniture, Games	0.0139	0.5816
E2	1	Other Consumer Goods	0.0046	0.212
