letter	number	name	frequency	specialisation
A1	7	Electrical Machinery, apparatus, energy	0.01	0.1664
A2	3	Audio-Visual Technology	0.0043	0.1623
A3	1	Telecommunications	0.0014	0.0543
A6	3	Computer Technology	0.0043	0.1327
B2	10	Measurement	0.0142	0.2857
B3	5	Analysis of Biological Materials	0.0071	0.8987
B5	11	Medical Technology	0.0157	0.3398
C1	5	Organic Fine Chemistery	0.0071	0.1547
C10	15	Chemical Engineering	0.0214	0.6993
C11	6	Environmental Technology	0.0085	0.5592
C2	6	Biotechnology	0.0085	0.3004
C3	9	Pharmaceuticals	0.0128	0.297
C5	5	Food chemistery	0.0071	0.6174
C6	4	Basic materials chemistery	0.0057	0.2014
C7	7	Materials, metallurgy	0.01	0.4902
C8	5	Surface technology, coating	0.0071	0.483
D1	112	Handling	0.1595	3.7441
D2	132	Machine Tools	0.188	5.8025
D3	70	Engines, Pumps, Turbines	0.0997	2.9585
D4	52	Textile and Paper Machines	0.0741	2.7649
D5	59	Other Special Machines	0.084	2.1053
D6	8	Thermal Processes and Apparatus	0.0114	0.5588
D7	22	Mechanical Elements	0.0313	0.7653
D8	58	Transport	0.0826	1.4365
E1	13	Furniture, Games	0.0185	0.7741
E2	25	Other Consumer Goods	0.0356	1.6406
E3	49	Civil Engineering	0.0698	1.4664
