letter	number	name	frequency	specialisation
A1	35	Electrical Machinery, apparatus, energy	0.0501	0.8336
A2	4	Audio-Visual Technology	0.0057	0.2151
A3	7	Telecommunications	0.01	0.3876
B1	18	Optics	0.0258	1.3651
B2	13	Measurement	0.0186	0.3742
B3	1	Analysis of Biological Materials	0.0014	0.1772
B4	4	Control	0.0057	0.3608
B5	17	Medical Technology	0.0243	0.526
C1	14	Organic Fine Chemistery	0.02	0.4357
C10	29	Chemical Engineering	0.0415	1.3562
C11	10	Environmental Technology	0.0143	0.9408
C2	2	Biotechnology	0.0029	0.1025
C3	1	Pharmaceuticals	0.0014	0.0325
C4	2	Macromolecular chemistery, polymers	0.0029	0.1103
C5	28	Food chemistery	0.0401	3.487
C7	16	Materials, metallurgy	0.0229	1.1225
C8	3	Surface technology, coating	0.0043	0.2925
D1	38	Handling	0.0544	1.277
D2	36	Machine Tools	0.0515	1.5895
D3	19	Engines, Pumps, Turbines	0.0272	0.8071
D4	25	Textile and Paper Machines	0.0358	1.3358
D5	92	Other Special Machines	0.1316	3.2982
D6	7	Thermal Processes and Apparatus	0.01	0.4902
D7	16	Mechanical Elements	0.0229	0.5599
D8	137	Transport	0.196	3.4087
E1	8	Furniture, Games	0.0114	0.477
E2	6	Other Consumer Goods	0.0086	0.3963
E3	111	Civil Engineering	0.1588	3.3361
