letter	number	name	frequency	specialisation
A1	3	Electrical Machinery, apparatus, energy	0.0047	0.0782
A2	7	Audio-Visual Technology	0.0109	0.4113
A3	5	Telecommunications	0.0078	0.3023
A4	6	Digital Communication	0.0093	0.265
A6	1	Computer Technology	0.0016	0.0494
A8	4	Semiconductors	0.0062	0.4106
B1	6	Optics	0.0093	0.4921
B2	8	Measurement	0.0124	0.2495
B4	3	Control	0.0047	0.2975
B5	124	Medical Technology	0.1925	4.1667
C1	1	Organic Fine Chemistery	0.0016	0.0349
C10	15	Chemical Engineering	0.0233	0.7614
C11	14	Environmental Technology	0.0217	1.4276
C3	4	Pharmaceuticals	0.0062	0.1439
C4	6	Macromolecular chemistery, polymers	0.0093	0.3536
C5	4	Food chemistery	0.0062	0.5391
C6	5	Basic materials chemistery	0.0078	0.2756
C7	3	Materials, metallurgy	0.0047	0.2304
C8	13	Surface technology, coating	0.0202	1.3741
D1	34	Handling	0.0528	1.2394
D2	65	Machine Tools	0.1009	3.1142
D3	1	Engines, Pumps, Turbines	0.0016	0.0475
D4	15	Textile and Paper Machines	0.0233	0.8694
D5	100	Other Special Machines	0.1553	3.8922
D6	6	Thermal Processes and Apparatus	0.0093	0.4559
D7	21	Mechanical Elements	0.0326	0.7971
D8	49	Transport	0.0761	1.3235
E1	14	Furniture, Games	0.0217	0.9079
E2	19	Other Consumer Goods	0.0295	1.3594
E3	88	Civil Engineering	0.1366	2.8697
