letter	number	name	frequency	specialisation
A1	147	Electrical Machinery, apparatus, energy	0.0444	0.7388
A2	7	Audio-Visual Technology	0.0021	0.0792
A3	8	Telecommunications	0.0024	0.093
A5	2	Basic Communication Processes	6e-04	0.0612
A6	14	Computer Technology	0.0042	0.1296
A7	1	IT Methods for Management	3e-04	0.0714
A8	4	Semiconductors	0.0012	0.0795
B1	81	Optics	0.0245	1.2963
B2	406	Measurement	0.1227	2.4688
B3	9	Analysis of Biological Materials	0.0027	0.3418
B4	23	Control	0.0069	0.4367
B5	73	Medical Technology	0.0221	0.4784
C1	8	Organic Fine Chemistery	0.0024	0.0523
C10	332	Chemical Engineering	0.1003	3.2778
C11	46	Environmental Technology	0.0139	0.9145
C2	3	Biotechnology	9e-04	0.0318
C3	38	Pharmaceuticals	0.0115	0.2668
C4	26	Macromolecular chemistery, polymers	0.0079	0.3004
C5	92	Food chemistery	0.0278	2.4174
C6	22	Basic materials chemistery	0.0066	0.2332
C7	51	Materials, metallurgy	0.0154	0.7549
C8	68	Surface technology, coating	0.0205	1.3946
D1	156	Handling	0.0471	1.1056
D2	186	Machine Tools	0.0562	1.7346
D3	21	Engines, Pumps, Turbines	0.0063	0.1869
D4	210	Textile and Paper Machines	0.0634	2.3657
D5	164	Other Special Machines	0.0495	1.2406
D6	59	Thermal Processes and Apparatus	0.0178	0.8725
D7	170	Mechanical Elements	0.0514	1.2567
D8	96	Transport	0.029	0.5043
E1	154	Furniture, Games	0.0465	1.9456
E2	33	Other Consumer Goods	0.01	0.4608
E3	600	Civil Engineering	0.1813	3.8088
