letter	number	name	frequency	specialisation
A1	80	Electrical Machinery, apparatus, energy	0.0328	0.5458
A2	6	Audio-Visual Technology	0.0025	0.0943
A4	5	Digital Communication	0.0021	0.0598
A5	4	Basic Communication Processes	0.0016	0.1633
A6	1	Computer Technology	4e-04	0.0123
A8	2	Semiconductors	8e-04	0.053
B1	2	Optics	8e-04	0.0423
B2	19	Measurement	0.0078	0.1569
B3	2	Analysis of Biological Materials	8e-04	0.1013
B4	14	Control	0.0057	0.3608
B5	54	Medical Technology	0.0222	0.4805
C1	8	Organic Fine Chemistery	0.0033	0.0719
C10	87	Chemical Engineering	0.0357	1.1667
C11	66	Environmental Technology	0.0271	1.7829
C2	4	Biotechnology	0.0016	0.0565
C3	1	Pharmaceuticals	4e-04	0.0093
C4	3	Macromolecular chemistery, polymers	0.0012	0.0456
C5	2	Food chemistery	8e-04	0.0696
C6	7	Basic materials chemistery	0.0029	0.1025
C7	70	Materials, metallurgy	0.0287	1.4069
C8	43	Surface technology, coating	0.0176	1.1973
D1	182	Handling	0.0747	1.7535
D2	256	Machine Tools	0.105	3.2407
D3	19	Engines, Pumps, Turbines	0.0078	0.2315
D4	22	Textile and Paper Machines	0.009	0.3358
D5	110	Other Special Machines	0.0451	1.1303
D6	243	Thermal Processes and Apparatus	0.0997	4.8873
D7	258	Mechanical Elements	0.1059	2.5892
D8	112	Transport	0.046	0.8
E1	87	Furniture, Games	0.0357	1.4937
E2	30	Other Consumer Goods	0.0123	0.5668
E3	638	Civil Engineering	0.2618	5.5
