letter	number	name	frequency	specialisation
A1	46	Electrical Machinery, apparatus, energy	0.037	0.6156
A2	25	Audio-Visual Technology	0.0201	0.7585
A3	50	Telecommunications	0.0403	1.562
A4	32	Digital Communication	0.0258	0.735
A5	14	Basic Communication Processes	0.0113	1.1531
A6	29	Computer Technology	0.0233	0.7191
A7	7	IT Methods for Management	0.0056	1.3333
B1	41	Optics	0.033	1.746
B2	164	Measurement	0.132	2.6559
B3	28	Analysis of Biological Materials	0.0225	2.8481
B4	42	Control	0.0338	2.1392
B5	32	Medical Technology	0.0258	0.5584
C1	61	Organic Fine Chemistery	0.0491	1.0697
C10	53	Chemical Engineering	0.0427	1.3954
C11	6	Environmental Technology	0.0048	0.3158
C2	8	Biotechnology	0.0064	0.2261
C3	42	Pharmaceuticals	0.0338	0.7842
C4	138	Macromolecular chemistery, polymers	0.1111	4.2243
C6	13	Basic materials chemistery	0.0105	0.371
C7	5	Materials, metallurgy	0.004	0.1961
C8	5	Surface technology, coating	0.004	0.2721
D1	43	Handling	0.0346	0.8122
D2	29	Machine Tools	0.0233	0.7191
D3	22	Engines, Pumps, Turbines	0.0177	0.5252
D4	78	Textile and Paper Machines	0.0628	2.3433
D5	45	Other Special Machines	0.0362	0.9073
D6	12	Thermal Processes and Apparatus	0.0097	0.4755
D7	20	Mechanical Elements	0.0161	0.3936
D8	80	Transport	0.0644	1.12
E1	14	Furniture, Games	0.0113	0.4728
E2	45	Other Consumer Goods	0.0362	1.6682
E3	13	Civil Engineering	0.0105	0.2206
