letter	number	name	frequency	specialisation
A1	237	Electrical Machinery, apparatus, energy	0.1599	2.6606
A2	4	Audio-Visual Technology	0.0027	0.1019
A3	9	Telecommunications	0.0061	0.2364
A4	10	Digital Communication	0.0067	0.1909
A5	9	Basic Communication Processes	0.0061	0.6224
A6	1	Computer Technology	7e-04	0.0216
A7	2	IT Methods for Management	0.0013	0.3095
A8	5	Semiconductors	0.0034	0.2252
B1	2	Optics	0.0013	0.0688
B2	33	Measurement	0.0223	0.4487
B3	3	Analysis of Biological Materials	0.002	0.2532
B4	35	Control	0.0236	1.4937
B5	57	Medical Technology	0.0385	0.8333
C1	20	Organic Fine Chemistery	0.0135	0.2941
C10	15	Chemical Engineering	0.0101	0.3301
C11	15	Environmental Technology	0.0101	0.6645
C2	101	Biotechnology	0.0682	2.4099
C3	32	Pharmaceuticals	0.0216	0.5012
C4	9	Macromolecular chemistery, polymers	0.0061	0.2319
C5	11	Food chemistery	0.0074	0.6435
C6	19	Basic materials chemistery	0.0128	0.4523
C7	3	Materials, metallurgy	0.002	0.098
C8	9	Surface technology, coating	0.0061	0.415
D1	28	Handling	0.0189	0.4437
D2	31	Machine Tools	0.0209	0.6451
D3	2	Engines, Pumps, Turbines	0.0013	0.0386
D4	2	Textile and Paper Machines	0.0013	0.0485
D5	457	Other Special Machines	0.3084	7.7293
D6	50	Thermal Processes and Apparatus	0.0337	1.652
D7	20	Mechanical Elements	0.0135	0.3301
D8	95	Transport	0.0641	1.1148
E1	22	Furniture, Games	0.0148	0.6192
E2	19	Other Consumer Goods	0.0128	0.5899
E3	115	Civil Engineering	0.0776	1.6303
