letter	number	name	frequency	specialisation
A1	21	Electrical Machinery, apparatus, energy	0.3088	5.1381
B1	1	Optics	0.0147	0.7778
B4	1	Control	0.0147	0.9304
B5	2	Medical Technology	0.0294	0.6364
C10	20	Chemical Engineering	0.2941	9.6111
C4	1	Macromolecular chemistery, polymers	0.0147	0.5589
C7	8	Materials, metallurgy	0.1176	5.7647
D1	2	Handling	0.0294	0.6901
D5	1	Other Special Machines	0.0147	0.3684
D7	3	Mechanical Elements	0.0441	1.0782
D8	7	Transport	0.1029	1.7896
E3	1	Civil Engineering	0.0147	0.3088
