letter	number	name	frequency	specialisation
A1	6	Electrical Machinery, apparatus, energy	0.0909	1.5125
A2	4	Audio-Visual Technology	0.0606	2.2868
A4	3	Digital Communication	0.0455	1.2963
A6	1	Computer Technology	0.0152	0.4691
B1	1	Optics	0.0152	0.8042
B2	1	Measurement	0.0152	0.3058
B4	8	Control	0.1212	7.6709
B5	1	Medical Technology	0.0152	0.329
C10	3	Chemical Engineering	0.0455	1.4869
C11	2	Environmental Technology	0.0303	1.9934
C2	1	Biotechnology	0.0152	0.5371
C3	1	Pharmaceuticals	0.0152	0.3527
C5	3	Food chemistery	0.0455	3.9565
D1	4	Handling	0.0606	1.4225
D4	1	Textile and Paper Machines	0.0152	0.5672
D5	2	Other Special Machines	0.0303	0.7594
D6	3	Thermal Processes and Apparatus	0.0455	2.2304
E1	2	Furniture, Games	0.0303	1.2678
E2	1	Other Consumer Goods	0.0152	0.7005
E3	18	Civil Engineering	0.2727	5.729
