letter	number	name	frequency	specialisation
A1	35	Electrical Machinery, apparatus, energy	0.0409	0.6805
A2	28	Audio-Visual Technology	0.0327	1.234
A3	11	Telecommunications	0.0129	0.5
A4	11	Digital Communication	0.0129	0.3675
A5	7	Basic Communication Processes	0.0082	0.8367
A6	13	Computer Technology	0.0152	0.4691
A7	1	IT Methods for Management	0.0012	0.2857
A8	6	Semiconductors	0.007	0.4636
B1	7	Optics	0.0082	0.4339
B2	63	Measurement	0.0736	1.4809
B3	4	Analysis of Biological Materials	0.0047	0.5949
B4	47	Control	0.0549	3.4747
B5	53	Medical Technology	0.0619	1.3398
C1	24	Organic Fine Chemistery	0.028	0.61
C10	7	Chemical Engineering	0.0082	0.268
C11	9	Environmental Technology	0.0105	0.6908
C2	37	Biotechnology	0.0432	1.5265
C3	11	Pharmaceuticals	0.0129	0.2993
C4	1	Macromolecular chemistery, polymers	0.0012	0.0456
C5	7	Food chemistery	0.0082	0.713
C6	8	Basic materials chemistery	0.0093	0.3286
C7	5	Materials, metallurgy	0.0058	0.2843
C8	4	Surface technology, coating	0.0047	0.3197
D1	28	Handling	0.0327	0.7676
D2	25	Machine Tools	0.0292	0.9012
D3	44	Engines, Pumps, Turbines	0.0514	1.5252
D4	4	Textile and Paper Machines	0.0047	0.1754
D5	40	Other Special Machines	0.0467	1.1704
D6	2	Thermal Processes and Apparatus	0.0023	0.1127
D7	32	Mechanical Elements	0.0374	0.9144
D8	159	Transport	0.1857	3.2296
E1	3	Furniture, Games	0.0035	0.1464
E2	13	Other Consumer Goods	0.0152	0.7005
E3	107	Civil Engineering	0.125	2.6261
