letter	number	name	frequency	specialisation
A2	1	Audio-Visual Technology	0.0154	0.5811
B2	2	Measurement	0.0308	0.6197
C10	4	Chemical Engineering	0.0615	2.0098
C2	1	Biotechnology	0.0154	0.5442
C5	2	Food chemistery	0.0308	2.6783
C6	9	Basic materials chemistery	0.1385	4.894
C7	1	Materials, metallurgy	0.0154	0.7549
C8	5	Surface technology, coating	0.0769	5.2313
D1	8	Handling	0.1231	2.8897
D2	4	Machine Tools	0.0615	1.8981
D5	1	Other Special Machines	0.0154	0.386
D6	2	Thermal Processes and Apparatus	0.0308	1.5098
D7	4	Mechanical Elements	0.0615	1.5037
D8	5	Transport	0.0769	1.3374
E1	4	Furniture, Games	0.0615	2.5732
E2	2	Other Consumer Goods	0.0308	1.4194
E3	10	Civil Engineering	0.1538	3.2311
