letter	number	name	frequency	specialisation
A1	4	Electrical Machinery, apparatus, energy	0.0169	0.2812
A2	2	Audio-Visual Technology	0.0084	0.317
A3	1	Telecommunications	0.0042	0.1628
A4	1	Digital Communication	0.0042	0.1197
B2	3	Measurement	0.0127	0.2555
B4	12	Control	0.0506	3.2025
B5	9	Medical Technology	0.038	0.8225
C1	1	Organic Fine Chemistery	0.0042	0.0915
C10	10	Chemical Engineering	0.0422	1.3791
C11	12	Environmental Technology	0.0506	3.3289
C2	7	Biotechnology	0.0295	1.0424
C3	19	Pharmaceuticals	0.0802	1.8608
C4	3	Macromolecular chemistery, polymers	0.0127	0.4829
C5	19	Food chemistery	0.0802	6.9739
C7	8	Materials, metallurgy	0.0338	1.6569
C8	2	Surface technology, coating	0.0084	0.5714
D1	15	Handling	0.0633	1.4859
D2	2	Machine Tools	0.0084	0.2593
D3	3	Engines, Pumps, Turbines	0.0127	0.3769
D4	10	Textile and Paper Machines	0.0422	1.5746
D5	3	Other Special Machines	0.0127	0.3183
D6	8	Thermal Processes and Apparatus	0.0338	1.6569
D7	3	Mechanical Elements	0.0127	0.3105
D8	5	Transport	0.0211	0.367
E1	39	Furniture, Games	0.1646	6.887
E2	2	Other Consumer Goods	0.0084	0.3871
E3	34	Civil Engineering	0.1435	3.0147
