letter	number	name	frequency	specialisation
A1	7	Electrical Machinery, apparatus, energy	0.1094	1.8203
A3	1	Telecommunications	0.0156	0.6047
A6	1	Computer Technology	0.0156	0.4815
B2	14	Measurement	0.2188	4.4024
B4	3	Control	0.0469	2.9684
B5	5	Medical Technology	0.0781	1.6905
C10	4	Chemical Engineering	0.0625	2.0425
C11	5	Environmental Technology	0.0781	5.1382
C7	2	Materials, metallurgy	0.0312	1.5294
C8	2	Surface technology, coating	0.0312	2.1224
D2	1	Machine Tools	0.0156	0.4815
D3	3	Engines, Pumps, Turbines	0.0469	1.3917
D5	2	Other Special Machines	0.0312	0.782
D6	1	Thermal Processes and Apparatus	0.0156	0.7647
D8	3	Transport	0.0469	0.8157
E2	1	Other Consumer Goods	0.0156	0.7189
E3	9	Civil Engineering	0.1406	2.9538
