letter	number	name	frequency	specialisation
A3	1	Telecommunications	0.0152	0.5891
A4	3	Digital Communication	0.0455	1.2963
B2	2	Measurement	0.0303	0.6097
B5	1	Medical Technology	0.0152	0.329
C10	4	Chemical Engineering	0.0606	1.9804
C11	2	Environmental Technology	0.0303	1.9934
C2	4	Biotechnology	0.0606	2.1413
C3	4	Pharmaceuticals	0.0606	1.406
C7	8	Materials, metallurgy	0.1212	5.9412
C8	1	Surface technology, coating	0.0152	1.034
D1	6	Handling	0.0909	2.1338
D2	3	Machine Tools	0.0455	1.4043
D5	2	Other Special Machines	0.0303	0.7594
D6	3	Thermal Processes and Apparatus	0.0455	2.2304
D7	14	Mechanical Elements	0.2121	5.1858
D8	1	Transport	0.0152	0.2643
E2	1	Other Consumer Goods	0.0152	0.7005
E3	6	Civil Engineering	0.0909	1.9097
