letter	number	name	frequency	specialisation
A4	2	Digital Communication	0.0317	0.9031
A6	1	Computer Technology	0.0159	0.4907
B5	1	Medical Technology	0.0159	0.3442
C1	20	Organic Fine Chemistery	0.3175	6.9172
C10	1	Chemical Engineering	0.0159	0.5196
C3	2	Pharmaceuticals	0.0317	0.7355
D1	6	Handling	0.0952	2.2347
D5	7	Other Special Machines	0.1111	2.7845
D6	6	Thermal Processes and Apparatus	0.0952	4.6667
D7	7	Mechanical Elements	0.1111	2.7164
E2	3	Other Consumer Goods	0.0476	2.1935
E3	7	Civil Engineering	0.1111	2.334
