letter	number	name	frequency	specialisation
A1	145	Electrical Machinery, apparatus, energy	0.0341	0.5674
A2	42	Audio-Visual Technology	0.0099	0.3736
A3	26	Telecommunications	0.0061	0.2364
A4	6	Digital Communication	0.0014	0.0399
A5	3	Basic Communication Processes	7e-04	0.0714
A6	3	Computer Technology	7e-04	0.0216
A7	1	IT Methods for Management	2e-04	0.0476
A8	4	Semiconductors	9e-04	0.0596
B1	114	Optics	0.0268	1.418
B2	36	Measurement	0.0085	0.171
B3	10	Analysis of Biological Materials	0.0023	0.2911
B4	35	Control	0.0082	0.519
B5	96	Medical Technology	0.0225	0.487
C1	39	Organic Fine Chemistery	0.0092	0.2004
C10	148	Chemical Engineering	0.0348	1.1373
C11	48	Environmental Technology	0.0113	0.7434
C2	6	Biotechnology	0.0014	0.0495
C3	95	Pharmaceuticals	0.0223	0.5174
C4	13	Macromolecular chemistery, polymers	0.0031	0.1179
C5	56	Food chemistery	0.0132	1.1478
C6	17	Basic materials chemistery	0.004	0.1413
C7	26	Materials, metallurgy	0.0061	0.299
C8	30	Surface technology, coating	0.007	0.4762
D1	277	Handling	0.0651	1.5282
D2	156	Machine Tools	0.0366	1.1296
D3	52	Engines, Pumps, Turbines	0.0122	0.362
D4	141	Textile and Paper Machines	0.0331	1.2351
D5	280	Other Special Machines	0.0658	1.6491
D6	283	Thermal Processes and Apparatus	0.0665	3.2598
D7	130	Mechanical Elements	0.0305	0.7457
D8	185	Transport	0.0434	0.7548
E1	383	Furniture, Games	0.0899	3.7615
E2	882	Other Consumer Goods	0.2071	9.5438
E3	490	Civil Engineering	0.1151	2.4181
