letter	number	name	frequency	specialisation
A1	106	Electrical Machinery, apparatus, energy	0.059	0.9817
A2	17	Audio-Visual Technology	0.0095	0.3585
A3	1	Telecommunications	6e-04	0.0233
A4	1	Digital Communication	6e-04	0.0171
A6	1	Computer Technology	6e-04	0.0185
B1	2	Optics	0.0011	0.0582
B2	13	Measurement	0.0072	0.1449
B4	40	Control	0.0222	1.4051
B5	19	Medical Technology	0.0106	0.2294
C1	116	Organic Fine Chemistery	0.0645	1.4052
C10	86	Chemical Engineering	0.0478	1.5621
C11	22	Environmental Technology	0.0122	0.8026
C3	42	Pharmaceuticals	0.0234	0.5429
C4	11	Macromolecular chemistery, polymers	0.0061	0.2319
C5	20	Food chemistery	0.0111	0.9652
C6	15	Basic materials chemistery	0.0083	0.2933
C7	18	Materials, metallurgy	0.01	0.4902
C8	17	Surface technology, coating	0.0095	0.6463
D1	113	Handling	0.0628	1.4742
D2	159	Machine Tools	0.0884	2.7284
D3	37	Engines, Pumps, Turbines	0.0206	0.6113
D4	65	Textile and Paper Machines	0.0362	1.3507
D5	157	Other Special Machines	0.0873	2.188
D6	85	Thermal Processes and Apparatus	0.0473	2.3186
D7	66	Mechanical Elements	0.0367	0.8973
D8	272	Transport	0.1513	2.6313
E1	80	Furniture, Games	0.0445	1.8619
E2	63	Other Consumer Goods	0.035	1.6129
E3	154	Civil Engineering	0.0857	1.8004
